community,community_category,2020_Housing_Units,minimum_multi_family_unit capacity,unit_cpacity_of_total_housing_units,minimum_land_area,developable_station_area,percent_of_district_to_be_located_in_station_area
Nahant,Adjacent small town,"1,680",84,5%, -   , -   ,0%
Natick,Commuter Rail,"15,680","2,352",15%,50,680,75%
Needham,Commuter Rail,"11,891","1,784",15%,50,"1,223",90%
New Bedford,Commuter Rail,"44,588","6,688",15%,50,744,75%
Newbury,Adjacent small town,"3,072",154,5%, -   ,69,0%
Newburyport,Commuter Rail,"8,615","1,292",15%,35,213,20%
Newton,Rapid Transit,"33,320","8,330",25%,50,"2,833",90%
Norfolk,Commuter Rail,"3,601",750,21%,50,333,40%
North Andover,Adjacent community,"11,914","1,191",10%,50,5,0%
North Attleborough,Adjacent community,"12,551","1,255",10%,50, -   ,0%
North Reading,Adjacent community,"5,875",750,13%,50, -   ,0%
Northborough,Adjacent community,"5,897",750,13%,50, -   ,0%
Northbridge,Adjacent community,"6,691",750,11%,50, -   ,0%
Norton,Adjacent community,"6,971",750,11%,50, -   ,0%
Norwell,Adjacent community,"3,805",750,20%,50, -   ,0%
Norwood,Commuter Rail,"13,634","2,045",15%,50,861,90%
Paxton,Adjacent small town,"1,689",84,5%, -   , -   ,0%
Peabody,Adjacent community,"23,191","2,319",10%,50, -   ,0%
Pembroke,Adjacent community,"7,007",750,11%,50, -   ,0%
Plymouth,Adjacent community,"28,074","2,807",10%,50, -   ,0%
Plympton,Adjacent small town,"1,068",53,5%, -   , -   ,0%
Princeton,Adjacent small town,"1,383",69,5%, -   , -   ,0%
Quincy,Rapid Transit,"47,009","11,752",25%,50,"1,222",90%
Randolph,Commuter Rail,"12,901","1,935",15%,48,182,20%
Raynham,Adjacent community,"5,749",750,13%,50, -   ,0%
Reading,Commuter Rail,"9,952","1,493",15%,43,343,40%
Rehoboth,Adjacent small town,"4,611",231,5%, -   , -   ,0%
Revere,Rapid Transit,"24,539","6,135",25%,27,457,50%
Rochester,Adjacent small town,"2,105",105,5%, -   , -   ,0%
Rockland,Adjacent community,"7,263",726,10%,47, -   ,0%
Rockport,Commuter Rail,"4,380",657,15%,32,252,40%
Rowley,Commuter Rail,"2,405",601,25%,40,149,20%
Salem,Commuter Rail,"20,349","3,052",15%,41,266,40%
Salisbury,Adjacent community,"5,305",750,14%,50, -   ,0%
Saugus,Adjacent community,"11,303","1,130",10%,50,11,0%
Scituate,Commuter Rail,"8,260","1,239",15%,50,373,40%
Seekonk,Adjacent community,"6,057",750,12%,50, -   ,0%
Sharon,Commuter Rail,"6,581",987,15%,50,261,40%
Sherborn,Adjacent small town,"1,562",78,5%, -   , -   ,0%
Shirley,Commuter Rail,"2,599",650,25%,43,338,40%
Shrewsbury,Adjacent community,"14,966","1,497",10%,50,52,0%
Somerville,Rapid Transit,"36,269","9,067",25%,24,"1,314",90%
Southborough,Commuter Rail,"3,763",750,20%,50,167,20%
Sterling,Adjacent small town,"3,117",156,5%, -   , -   ,0%
Stoneham,Adjacent community,"10,159","1,016",10%,27,12,0%
Stoughton,Commuter Rail,"11,739","1,761",15%,50,317,40%
Stow,Adjacent small town,"2,770",139,5%, -   , -   ,0%
Sudbury,Adjacent community,"6,556",750,11%,50, -   ,0%
Sutton,Adjacent small town,"3,612",181,5%, -   , -   ,0%
Swampscott,Commuter Rail,"6,362",954,15%,20,236,20%
Taunton,Commuter Rail,"24,965","3,745",15%,50,269,40%
Tewksbury,Adjacent community,"12,139","1,214",10%,50, -   ,0%
Topsfield,Adjacent small town,"2,358",118,5%, -   , -   ,0%
Townsend,Adjacent small town,"3,566",178,5%, -   , -   ,0%
Tyngsborough,Adjacent community,"4,669",750,16%,50, -   ,0%
Upton,Adjacent small town,"2,995",150,5%, -   , -   ,0%
Wakefield,Commuter Rail,"11,305","1,696",15%,36,630,75%
Walpole,Commuter Rail,"10,042","1,506",15%,50,638,75%
Waltham,Commuter Rail,"26,545","3,982",15%,50,470,50%
Wareham,Adjacent community,"12,967","1,297",10%,50, -   ,0%
Watertown,Adjacent community,"17,010","1,701",10%,24,27,0%
Wayland,Adjacent community,"5,296",750,14%,50, -   ,0%
Wellesley,Commuter Rail,"9,282","1,392",15%,50,921,90%
Wenham,Commuter Rail,"1,460",365,25%,24,111,20%
West Boylston,Adjacent community,"3,052",587,19%,39, -   ,0%
West Bridgewater,Adjacent small town,"2,898",145,5%, -   , -   ,0%
West Newbury,Adjacent small town,"1,740",87,5%, -   , -   ,0%
Westborough,Commuter Rail,"8,334","1,250",15%,50,194,20%
Westford,Adjacent community,"9,237",924,10%,50, -   ,0%
Westminster,Adjacent small town,"3,301",165,5%, -   ,30,0%
Weston,Commuter Rail,"4,043",750,19%,50,702,75%
Westwood,Commuter Rail,"5,801",870,15%,50,470,50%
Weymouth,Commuter Rail,"25,419","3,813",15%,50,713,75%
Whitman,Commuter Rail,"5,984",898,15%,37,242,20%
Wilmington,Commuter Rail,"8,320","1,248",15%,50,538,50%
Winchester,Commuter Rail,"8,135","1,220",15%,37,446,50%
Winthrop,Adjacent community,"8,821",882,10%,12,14,0%
Woburn,Commuter Rail,"17,540","2,631",15%,50,702,75%
Worcester,Commuter Rail,"84,281","12,642",15%,50,290,40%
Wrentham,Adjacent community,"4,620",750,16%,50, -   ,0%
