mode,season,route_id,route_name,dir_id,day_type_id,day_type_name,time_period_id,time_period_name,stop_name,parent_station,total_ons,total_offs,number_service_days,average_ons,average_offs,average_flow,ObjectId
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_04,MIDDAY_BASE,Newton Highlands,place-newtn,4205,401,62,68,6,451,1446
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_04,MIDDAY_BASE,Northeastern University,place-nuniv,5461,4375,62,88,71,647,1447
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_04,MIDDAY_BASE,North Station,place-north,7950,90990,62,128,1468,607,1448
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_04,MIDDAY_BASE,Packard's Corner,place-brico,11820,2499,62,191,40,1437,1449
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_04,MIDDAY_BASE,Park Street,place-pktrm,102711,135826,62,1657,2191,4150,1450
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_06,PM_PEAK,Brandon Hall,place-bndhl,1208,191,62,19,3,256,1451
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_06,PM_PEAK,Brigham Circle,place-brmnl,14476,651,62,233,10,565,1452
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_06,PM_PEAK,Brookline Hills,place-brkhl,2025,944,62,33,15,517,1453
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_06,PM_PEAK,Brookline Village,place-bvmnl,4780,1804,62,77,29,566,1454
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_06,PM_PEAK,Chestnut Hill,place-chhil,4091,345,62,66,6,506,1455
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_06,PM_PEAK,Chestnut Hill Avenue,place-chill,3304,381,62,53,6,166,1456
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_06,PM_PEAK,Chiswick Road,place-chswk,2990,125,62,48,2,213,1457
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_06,PM_PEAK,Cleveland Circle,place-clmnl,2694,0,62,43,0,43,1458
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_06,PM_PEAK,Coolidge Corner,place-cool,8831,2826,62,142,46,382,1459
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_06,PM_PEAK,Copley,place-coecl,84323,41369,62,1360,667,5789,1460
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_06,PM_PEAK,Dean Road,place-denrd,1910,134,62,31,2,112,1461
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_06,PM_PEAK,East Somerville,place-esomr,1119,5040,62,18,81,678,1462
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_06,PM_PEAK,Eliot,place-eliot,1968,164,62,32,3,363,1463
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_06,PM_PEAK,Englewood Avenue,place-engav,2567,12,62,41,0,84,1464
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_06,PM_PEAK,Fairbanks Street,place-fbkst,1914,182,62,31,3,241,1465
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_06,PM_PEAK,Fenway,place-fenwy,3487,2229,62,56,36,583,1466
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_06,PM_PEAK,Fenwood Road,place-fenwd,5474,895,62,88,14,341,1467
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_06,PM_PEAK,Gilman Square,place-gilmn,1343,15118,62,22,244,446,1468
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_06,PM_PEAK,Government Center,place-gover,41311,178274,62,666,2875,3746,1469
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_06,PM_PEAK,Griggs Street,place-grigg,2824,763,62,46,12,416,1470
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_06,PM_PEAK,Harvard Avenue,place-harvd,7424,3066,62,120,49,485,1471
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_06,PM_PEAK,Hawes Street,place-hwsst,989,373,62,16,6,482,1472
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_06,PM_PEAK,Haymarket,place-haecl,13428,55545,62,217,896,3060,1473
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_06,PM_PEAK,Heath Street,place-hsmnl,2865,0,62,46,0,46,1474
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_06,PM_PEAK,Hynes Convention Center,place-hymnl,88233,20899,62,1423,337,3503,1475
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_06,PM_PEAK,Kenmore,place-kencl,55454,18303,62,894,295,2410,1476
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_06,PM_PEAK,Kent Street,place-kntst,2429,254,62,39,4,474,1477
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_06,PM_PEAK,Lechmere,place-lech,6317,11154,62,102,180,929,1478
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_06,PM_PEAK,Longwood,place-longw,2145,1213,62,35,20,570,1479
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_06,PM_PEAK,Longwood Medical Area,place-lngmd,11269,1266,62,182,20,723,1480
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_06,PM_PEAK,Magoun Square,place-mgngl,134,8509,62,2,137,309,1481
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_06,PM_PEAK,Medford/Tufts,place-mdftf,0,10864,62,0,175,0,1482
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_06,PM_PEAK,Mission Park,place-mispk,5573,262,62,90,4,268,1483
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_06,PM_PEAK,Museum of Fine Arts,place-mfa,9014,1383,62,145,22,850,1484
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_06,PM_PEAK,Newton Centre,place-newto,3529,584,62,57,9,455,1485
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_06,PM_PEAK,Newton Highlands,place-newtn,3055,377,62,49,6,407,1486
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_06,PM_PEAK,Northeastern University,place-nuniv,9108,5532,62,147,89,908,1487
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_06,PM_PEAK,North Station,place-north,12130,137087,62,196,2211,1017,1488
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_06,PM_PEAK,Packard's Corner,place-brico,4101,1197,62,66,19,531,1489
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_06,PM_PEAK,Park Street,place-pktrm,126013,151232,62,2032,2439,5959,1490
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_06,PM_PEAK,Prudential,place-prmnl,37517,5419,62,605,87,1588,1491
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_06,PM_PEAK,Reservoir,place-rsmnl,2491,3011,62,40,49,498,1492
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_06,PM_PEAK,Riverside,place-river,17275,0,62,279,0,279,1493
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_06,PM_PEAK,Riverway,place-rvrwy,5690,216,62,92,3,184,1494
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_06,PM_PEAK,Saint Mary's Street,place-smary,2821,1690,62,46,27,494,1495
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_06,PM_PEAK,Saint Paul Street,place-stpul,3841,442,62,62,7,439,1496
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_06,PM_PEAK,Science Park/West End,place-spmnl,5913,5594,62,95,90,1016,1497
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_06,PM_PEAK,South Street,place-sougr,1495,45,62,24,1,116,1498
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_06,PM_PEAK,Summit Avenue,place-sumav,2353,449,62,38,7,287,1499
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_06,PM_PEAK,Sutherland Road,place-sthld,3159,518,62,51,8,254,1500
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Brandon Hall,place-bndhl,158,1,62,3,0,28,1501
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Brigham Circle,place-brmnl,212,5,62,3,0,12,1502
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Brookline Hills,place-brkhl,233,13,62,4,0,49,1503
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Brookline Village,place-bvmnl,402,107,62,6,2,51,1504
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Chestnut Hill,place-chhil,343,21,62,6,0,45,1505
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Chestnut Hill Avenue,place-chill,355,3,62,6,0,11,1506
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Chiswick Road,place-chswk,443,1,62,7,0,18,1507
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Cleveland Circle,place-clmnl,35,0,62,1,0,1,1508
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Coolidge Corner,place-cool,557,107,62,9,2,34,1509
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Copley,place-coecl,1944,1693,62,31,27,197,1510
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Dean Road,place-denrd,189,0,62,3,0,10,1511
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,East Somerville,place-esomr,3,1,62,0,0,0,1512
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Eliot,place-eliot,318,6,62,5,0,35,1513
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Englewood Avenue,place-engav,423,0,62,7,0,7,1514
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Fairbanks Street,place-fbkst,183,8,62,3,0,26,1515
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Fenway,place-fenwy,157,143,62,3,2,36,1516
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Fenwood Road,place-fenwd,113,25,62,2,0,9,1517
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Gilman Square,place-gilmn,0,2,62,0,0,0,1518
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Government Center,place-gover,2335,6194,62,38,100,90,1519
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Griggs Street,place-grigg,587,24,62,9,0,74,1520
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Harvard Avenue,place-harvd,927,267,62,15,4,84,1521
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Hawes Street,place-hwsst,99,16,62,2,0,41,1522
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Haymarket,place-haecl,360,1437,62,6,23,68,1523
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Heath Street,place-hsmnl,209,0,62,3,0,3,1524
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Hynes Convention Center,place-hymnl,2093,1189,62,34,19,179,1525
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Kenmore,place-kencl,2519,841,62,41,14,171,1526
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Kent Street,place-kntst,151,13,62,2,0,40,1527
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Lechmere,place-lech,12,496,62,0,8,3,1528
