mode,season,route_id,route_name,dir_id,day_type_id,day_type_name,time_period_id,time_period_name,stop_name,parent_station,total_ons,total_offs,number_service_days,average_ons,average_offs,average_flow,ObjectId
Light Rail,Fall 2023,Green,Green Line,WB,day_type_03,Sunday,time_period_11,OFF_PEAK,Gilman Square,place-gilmn,1264,104,11,115,9,472,2472
Light Rail,Fall 2023,Green,Green Line,WB,day_type_03,Sunday,time_period_11,OFF_PEAK,Government Center,place-gover,82886,10471,11,7535,952,14878,2473
Light Rail,Fall 2023,Green,Green Line,WB,day_type_03,Sunday,time_period_11,OFF_PEAK,Griggs Street,place-grigg,490,1672,11,45,152,1016,2474
Light Rail,Fall 2023,Green,Green Line,WB,day_type_03,Sunday,time_period_11,OFF_PEAK,Harvard Avenue,place-harvd,2238,7114,11,203,647,1123,2475
Light Rail,Fall 2023,Green,Green Line,WB,day_type_03,Sunday,time_period_11,OFF_PEAK,Hawes Street,place-hwsst,342,267,11,31,24,1079,2476
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_09,NIGHT,Northeastern University,place-nuniv,101,208,42,2,5,40,2477
Light Rail,Fall 2023,Green,Green Line,WB,day_type_03,Sunday,time_period_11,OFF_PEAK,Haymarket,place-haecl,30477,2807,11,2771,255,8295,2478
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_09,NIGHT,North Station,place-north,2657,66,42,63,2,73,2479
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_08,LATE_EVENING,Boston College,place-lake,0,650,42,0,15,0,2480
Light Rail,Fall 2023,Green,Green Line,WB,day_type_02,Saturday,time_period_10,OFF_PEAK,Hawes Street,place-hwsst,319,228,10,32,23,1193,2481
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_08,LATE_EVENING,Boston University Central,place-bucen,407,362,42,10,9,261,2482
Light Rail,Fall 2023,Green,Green Line,WB,day_type_02,Saturday,time_period_10,OFF_PEAK,Haymarket,place-haecl,38778,3655,10,3878,365,10168,2483
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_08,LATE_EVENING,Boston University East,place-buest,289,233,42,7,6,261,2484
Light Rail,Fall 2023,Green,Green Line,WB,day_type_02,Saturday,time_period_10,OFF_PEAK,Heath Street,place-hsmnl,0,2394,10,0,239,0,2485
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_08,LATE_EVENING,Boylston,place-boyls,12625,2215,42,301,53,1079,2486
Light Rail,Fall 2023,Green,Green Line,WB,day_type_02,Saturday,time_period_10,OFF_PEAK,Hynes Convention Center,place-hymnl,14326,59251,10,1433,5925,8931,2487
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_08,LATE_EVENING,Brandon Hall,place-bndhl,11,267,42,0,6,54,2488
Light Rail,Fall 2023,Green,Green Line,WB,day_type_02,Saturday,time_period_10,OFF_PEAK,Kenmore,place-kencl,5177,38770,10,518,3877,5579,2489
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_08,LATE_EVENING,Brigham Circle,place-brmnl,15,978,42,0,23,118,2490
Light Rail,Fall 2023,Green,Green Line,WB,day_type_02,Saturday,time_period_10,OFF_PEAK,Kent Street,place-kntst,338,277,10,34,28,1202,2491
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_08,LATE_EVENING,Brookline Hills,place-brkhl,68,443,42,2,11,208,2492
Light Rail,Fall 2023,Green,Green Line,WB,day_type_02,Saturday,time_period_10,OFF_PEAK,Lechmere,place-lech,1927,572,10,193,57,997,2493
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_08,LATE_EVENING,Brookline Village,place-bvmnl,233,981,42,6,23,214,2494
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_09,NIGHT,Packard's Corner,place-brico,8,308,42,0,7,70,2495
Light Rail,Fall 2023,Green,Green Line,WB,day_type_02,Saturday,time_period_10,OFF_PEAK,Longwood,place-longw,763,1398,10,76,140,1805,2496
Light Rail,Fall 2023,Green,Green Line,WB,day_type_03,Sunday,time_period_11,OFF_PEAK,Heath Street,place-hsmnl,0,2473,11,0,225,0,2497
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_08,LATE_EVENING,Tappan Street,place-tapst,11,389,42,0,9,22,2498
Light Rail,Fall 2023,Green,Green Line,WB,day_type_02,Saturday,time_period_10,OFF_PEAK,Longwood Medical Area,place-lngmd,275,3370,10,28,337,1069,2499
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_09,NIGHT,Park Street,place-pktrm,3305,3607,42,79,86,174,2500
Light Rail,Fall 2023,Green,Green Line,WB,day_type_03,Sunday,time_period_11,OFF_PEAK,Hynes Convention Center,place-hymnl,13961,54848,11,1269,4986,7321,2501
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_08,LATE_EVENING,Chestnut Hill,place-chhil,78,386,42,2,9,177,2502
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_08,LATE_EVENING,Chestnut Hill Avenue,place-chill,109,977,42,3,23,23,2503
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_08,LATE_EVENING,Chiswick Road,place-chswk,96,972,42,2,23,43,2504
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_08,LATE_EVENING,Cleveland Circle,place-clmnl,0,349,42,0,8,0,2505
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_08,LATE_EVENING,Coolidge Corner,place-cool,334,1161,42,8,28,67,2506
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_08,LATE_EVENING,Copley,place-coecl,7687,7125,42,183,170,1084,2507
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_08,LATE_EVENING,Dean Road,place-denrd,1,227,42,0,5,18,2508
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_08,LATE_EVENING,East Somerville,place-esomr,60,25,42,1,1,26,2509
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_08,LATE_EVENING,Eliot,place-eliot,56,251,42,1,6,160,2510
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_08,LATE_EVENING,Englewood Avenue,place-engav,2,406,42,0,10,8,2511
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_08,LATE_EVENING,Fairbanks Street,place-fbkst,6,330,42,0,8,46,2512
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_08,LATE_EVENING,Fenway,place-fenwy,357,655,42,9,16,235,2513
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_08,LATE_EVENING,Fenwood Road,place-fenwd,4,627,42,0,15,102,2514
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_08,LATE_EVENING,Gilman Square,place-gilmn,352,107,42,8,3,25,2515
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_08,LATE_EVENING,Government Center,place-gover,13044,8620,42,311,205,1072,2516
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_08,LATE_EVENING,Griggs Street,place-grigg,128,1010,42,3,24,164,2517
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_08,LATE_EVENING,Harvard Avenue,place-harvd,766,3793,42,18,90,185,2518
